Item ID,Custom Label,Product ID Type,Product ID Value,Product ID Value 2,Quantity Available,Purchases,Bids,Price,Start Date,End Date,Condition,Type,Item Title,Category Leaf Name,Category Number,Private Notes,Site Listed,Download Date,Variation Details,Product Reference ID,Condition ID,OutOfStockControl
254335021085,1118T,,,,1,0,,$99.99,Aug-19-19,,,9,"Vintage Salon Colored""Movin' On"" Levis (11"") Bell Bottom Pants/Jeans W32 L32",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
254335021086,1108X,,,,1,0,,$69.99,Aug-19-19,,,9,"Vintage Light Blue Levis (13"") Bell Bottom Pants/Jeans W32 L34",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
254335021087,1105C,,,,20,0,,$14.99,Aug-19-19,,New without tags,9,Vintage Handmade Pearlized Scallop Shell Pendant,"Other Fine Necklaces, Pendants",164334,,0,Apr-23-20 22:19:57 PDT,,,1500,false
254335021090,1118D,,,,1,0,,$79.99,Aug-19-19,,,9,"Vintage Salmon ""Movin' On"" Levis (12�) Bell Bottom Pants/Jeans W32 L32 NWT",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401853366848,1106J,,,,1,0,,$99.99,Aug-19-19,,,9,"Vintage Khaki ""Movin' On"" Levis (12"") Bell Bottoms Pants/Jeans W31 L34 NWT",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401853366849,1106H,,,,1,0,,$99.99,Aug-19-19,,,9,"Vintage Khaki ""Movin' On"" Levis (12"") Bell Bottom Pants/Jeans W32 L34 NWT",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401853366850,1107J,,,,1,0,,$69.99,Aug-19-19,,,9,"Vintage Light Blue ""Movin' On"" Levis (13"") Bell Bottom Pants/Jeans W30 L30",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401853366851,1108Z,,,,1,0,,$69.99,Aug-19-19,,,9,"Vintage Light Blue Levis (13"") Bell Bottom Pants/Jeans W32 L32",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401853366853,1106F,,,,5,0,,$99.99,Aug-19-19,,,9,"Vintage Khaki ""Movin' On"" Levis (11"") Bell Bottoms Pants/Jeans W31 L30 NWT",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401853366854,1105X,,,,50,0,,$14.99,Aug-19-19,,New without tags,9,Vintage Handmade Multi-Shell Pendant,Necklaces & Pendants,110655,,0,Apr-23-20 22:19:57 PDT,,,1500,false
254335021092,1118R,,,,1,0,,$79.99,Aug-19-19,,,9,"Vintage Salmon/Brown ""Movin' On"" Levis (13"") Bell Bottom Pants/Jeans W32 L34 NWT",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
401663455413,10888C,,,,50,0,,$5.99,Dec-19-18,,New with tags,9,Vintage 14 mm Cornelian Peach Round Faceted Cabochon Germany,Rhinestones,179271,,0,Apr-23-20 22:19:57 PDT,,,1000,false
254335030409,1107P,,,,1,0,,$99.99,Aug-19-19,,,9,"Vintage Light Blue Levis (13"") Bell Bottom Pants/Jeans 31 X 32",Jeans,175773,,0,Apr-23-20 22:19:57 PDT,,,,false
